,Restaurant Name,City,Address,Locality,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
14,Sodam Korean Restaurant,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223,Phillipines
15,Cafe Arabelle,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Phillipines
16,Nonna's Pasta & Pizzeria,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",850,Botswana Pula(P),No,No,No,No,3,4.0,Green,Very Good,72,Phillipines
17,Balay Dako,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211,Phillipines
18,Hobing Korean Dessert Cafe,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,Phillipines
19,Wildflour Cafe + Bakery,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,Phillipines
20,NIU by Vikings,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,Phillipines
21,The Food Hall by Todd English,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,Phillipines
22,Chez Michou,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,"Fast Food, French",55,Brazilian Real(R$),No,No,No,No,2,3.0,Orange,Average,6,Brazil
23,Cafí© Daniel Briand,Brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Asa Norte,Cafe,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9,Brazil
24,Casa do Biscoito Mineiro,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,Bakery,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11,Brazil
25,Maori,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,Brazilian,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11,Brazil
26,Pizza íæ Bessa,Brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,Pizza,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11,Brazil
27,Sushi Loko,Brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Asa Sul,Japanese,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10,Brazil
28,Beirute,Brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Asa Sul,Arabian,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8,Brazil
29,New Koto,Brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,Japanese,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5,Brazil
30,Sandubas Cafí©,Brasí_lia,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",Asa Sul,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,No,1,0.0,White,Not rated,2,Brazil
31,Villa Tevere,Brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Asa Sul,Italian,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12,Brazil
32,Rovereto,Brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas Claras,Pizza,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9,Brazil
33,Buena Carne,Brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9,Brazil
34,Taco Pep,Brasí_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, íguas Claras, Brasí_lia",íguas Claras,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29,Brazil
35,Coco Bambu,Brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte",International,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17,Brazil
36,Taypíç,Brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Lago Sul,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5,Brazil
37,Outback Steakhouse,Brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I","American, Grill",150,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,10,Brazil
38,Manzuíç,Brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul",Seafood,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6,Brazil
39,Coco Bambu,Brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30,Brazil
40,Gero,Brasí_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte",Italian,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8,Brazil
41,Brazilian American Burgers,Brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,"American, Burger",50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9,Brazil
42,Pesqueiro Eco Gourmet,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,7,Brazil
43,Confeitaria Colombo,Rio de Janeiro,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29,Brazil
44,Bibi,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24,Brazil
45,Cervantes,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29,Brazil
46,Amir,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,Lebanese,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11,Brazil
47,TT Burger,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana",Burger,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19,Brazil
48,Braseiro da Gíçvea,Rio de Janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Gíçvea,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40,Brazil
49,Balada Mix,Rio de Janeiro,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21,Brazil
50,Garota de Ipanema,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49,Brazil
51,Zazíç BistríÇ Tropical,Rio de Janeiro,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Ipanema,Brazilian,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21,Brazil
52,Filí© de Ouro,Rio de Janeiro,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",Lagoa,Brazilian,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14,Brazil
53,D.O.C Ristorante,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca",Italian,150,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,5,Brazil
54,Sushi Leblon,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,Japanese,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25,Brazil
55,Talho Capixaba,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13,Brazil
56,Leme Light,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,Brazilian,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7,Brazil
57,Shirley,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8,Brazil
58,Quiosque Chopp Brahma,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,No,3,0.0,White,Not rated,1,Brazil
59,Aprazí_vel,Rio de Janeiro,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,Brazilian,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44,Brazil
60,Aconchego Carioca,Rio de Janeiro,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24,Brazil
61,Garota de Ipanema,Rio de Janeiro,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Urca,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10,Brazil
62,Cantina Famiglia Mancini,Sí£o Paulo,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000","Bela Vista, Centro","Italian, Pizza",250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49,Brazil
63,Templo da Carne - Marcos Bassi,Sí£o Paulo,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000","Bela Vista, Centro","Steak, BBQ",250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17,Brazil
64,Gopala Hari,Sí£o Paulo,"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,Indian,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5,Brazil
65,Jiquitaia,Sí£o Paulo,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15,Brazil
66,Skye - Hotel Unique,Sí£o Paulo,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo","Hotel Unique, Jardim Paulista","Beverages, International",300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59,Brazil
67,Les 3 Brasseurs,Sí£o Paulo,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30,Brazil
68,Red Steak & Burger,Sí£o Paulo,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5,Brazil
69,Cantinho da Gula,Sí£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",Itaim Bibi,Brazilian,55,Brazilian Real(R$),No,No,No,No,2,0.0,White,Not rated,0,Brazil
70,Paris 6 Classique,Sí£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Jardim Paulista,French,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73,Brazil
71,Kawa Sushi,Sí£o Paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9,Brazil
72,A Figueira Rubaiyat,Sí£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Jardim Paulista,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39,Brazil
73,Kinoshita,Sí£o Paulo,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Moema,Sushi,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12,Brazil
74,Meats,Sí£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68,Brazil
75,Paribar,Sí£o Paulo,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",Repí_blica,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46,Brazil
76,Terraí_o Itíçlia,Sí£o Paulo,"Edifí_cio Itíçlia - 41Á Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",Repí_blica,Italian,400,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37,Brazil
77,Divino Fogí£o,Sí£o Paulo,"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo","Shopping MetríÇ Santa Cruz, Vila Mariana","Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,No,3,0.0,White,Not rated,2,Brazil
78,Super Grill,Sí£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro",Brazilian,50,Brazilian Real(R$),No,No,No,No,2,0.0,White,Not rated,2,Brazil
79,Esquina Mocotí_,Sí£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",Vila Maria,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22,Brazil
80,Veloso,Sí£o Paulo,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",Vila Mariana,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58,Brazil
81,Sainte Marie Gastronomia,Sí£o Paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11,Brazil
82,Austin's BBQ and Oyster Bar,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,No,2,3.3,Orange,Average,35,United States
83,BJ's Country Buffet,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"American, BBQ",10,Dollar($),No,No,No,No,1,3.3,Orange,Average,25,United States
85,El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,Mexican,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,45,United States
86,Elements Coffee Co - Northwest,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Coffee and Tea, Sandwich",10,Dollar($),No,No,No,No,1,3.4,Orange,Average,26,United States
88,Chick-fil-A,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,Fast Food,10,Dollar($),No,No,No,No,1,3.5,Yellow,Good,67,United States
89,Guang Zhou Chinese Restaurant,Albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,"Asian, Chinese, Vegetarian",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,141,United States
90,Harvest Moon,Albany,"2347 Dawson Road, Albany, GA 31707",Albany,"Pizza, Bar Food, Sandwich",25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,147,United States
91,Henry Campbell's Steakhouse,Albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,"Steak, Tapas, Bar Food",70,Dollar($),No,No,No,No,4,3.5,Yellow,Good,51,United States
92,Hong Kong Cafe,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Chinese, Seafood, Vegetarian",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,88,United States
93,House of China Restaurant II,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,Chinese,10,Dollar($),No,No,No,No,1,3.8,Yellow,Good,153,United States
95,Locos Grill & Pub,Albany,"547 N Westover Blvd, Albany, GA 31707",Albany,"American, Burger, Sandwich",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,57,United States
96,Longhorn Steakhouse,Albany,"2733 Dawson Rd, Albany, GA 31707",Albany,"American, Steak",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,58,United States
97,Mikata Japanese Steakhouse,Albany,"2610 Dawson Rd, Albany, GA 31707",Albany,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,115,United States
98,Shogun Japanese Steak House,Albany,"629 N Westover Blvd, Albany, GA 31707",Albany,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.5,Yellow,Good,51,United States
99,The Catch Seafood Room & Oyster Bar,Albany,"2332 Whispering Pines Road, Albany, GA 31707",Albany,"Seafood, Tapas, Bar Food",40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,250,United States
100,Villa Gargano,Albany,"1604 N Slappey Blvd, Albany, GA 31701",Albany,"Italian, Pizza",10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,117,United States
101,3 Squares Diner,Albany,"202 W Franklin St, Sylvester, GA 31791",Sylvester,"American, Breakfast, Diner",10,Dollar($),No,No,No,No,1,3.4,Orange,Average,20,United States
102,Whitebull Hotel,Armidale,"117 Marsh St, Armidale, NSW",Armidale,"Bar Food, Steak",20,Dollar($),No,No,No,No,2,3.5,Yellow,Good,25,Australia
103,Last Resort Grill,Athens,"184 W Clayton St, Athens, GA 30601",Athens,"American, Southern, Southwestern",40,Dollar($),No,No,No,No,3,4.5,Dark Green,Excellent,1821,United States
104,Mama's Boy Restaurant,Athens,"197 Oak St, GA 30601",Athens,Southern,10,Dollar($),No,No,No,No,1,4.5,Dark Green,Excellent,849,United States
105,Sr. Sol 1,Athens,"175 Tallassee Rd, Athens, GA 30606",Athens,Mexican,10,Dollar($),No,No,No,No,1,4.6,Dark Green,Excellent,917,United States
106,Choo Choo Eastside,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,"Japanese, Korean",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,439,United States
107,The Grill,Athens,"171 College Ave, Athens, GA 30601",Athens,"Breakfast, Burger, Sandwich",10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,289,United States
108,Big City Bread Cafe,Athens,"393 N Finley St, Athens, GA 30601",Athens,"Breakfast, Sandwich",10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,558,United States
109,Clocked,Athens,"259 W Washington St, Athens, GA 30601",Athens,"American, Burger, Sandwich",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,613,United States
110,DePalma's Italian Cafe - Downtown,Athens,"401 E Broad St, Athens, GA 30601",Athens,"American, Italian, Pizza",25,Dollar($),No,No,No,No,2,4.0,Green,Very Good,353,United States
111,DePalma's Italian Cafe - East Side,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,"American, Italian, Pizza",25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,387,United States
112,Five & Ten,Athens,"1073 South Milledge Ave, Athens, GA 30605",Athens,American,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,755,United States
113,Grit,Athens,"199 Prince Ave, Athens, GA 30601",Athens,"International, Southern, Vegetarian",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,800,United States
114,Ike & Jane,Athens,"1307 Prince Ave, Athens, GA 30606",Athens,Sandwich,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,350,United States
115,La Dolce Vita Ristorante,Athens,"323 E Broad St, Athens, GA 30601",Athens,Italian,40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,464,United States
116,Shokitini,Athens,"251 W Clayton St, Athens, GA 30601",Athens,"Asian, Japanese, Sushi",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,550,United States
117,Taqueria Del Sol,Athens,"334 Prince Ave, Athens, GA 30601",Athens,"Mexican, Spanish",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,543,United States
118,The National,Athens,"232 W. Hancock Ave., Athens, GA 30601",Athens,"International, Southern",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,465,United States
119,The Royal Peasant,Athens,"1675 S. Lumpkin St., Athens, GA 30606",Athens,Bar Food,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,546,United States
120,Transmetropolitan,Athens,"145 E Clayton St, Athens, GA 30601",Athens,"Italian, Pizza, Sandwich",10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,1098,United States
121,Trappeze Pub,Athens,"269 N Hull St, Athens, GA 30601",Athens,"Burger, Bar Food",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,579,United States
122,Viva! Argentine Cuisine,Athens,"247 Prince Ave, Athens, GA 30601",Athens,"Desserts, Latin American, Argentine",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,374,United States
123,Miyabi Kyoto Japanese Steak House,Augusta,"1315 Augusta West Pkwy, Augusta, GA 30909",Augusta,"Chinese, Steak",40,Dollar($),No,No,No,No,3,4.6,Dark Green,Excellent,717,United States
124,Rae's Coastal Cafe,Augusta,"3208 W Wimbledon Dr, Augusta, GA 30909",Augusta,"American, Caribbean, Seafood",40,Dollar($),No,No,No,No,3,4.9,Dark Green,Excellent,548,United States
